Landelijke_bag_id,Openbare_ruimte_id,Nummeraanduiding_id,Adresseerbaar_object_id,Pand_id,Kadastraal_object_id,Zakelijk_recht_id,Kadastraal_subject_id,Transactie_id,Adresseerbaar_object_type,Straatcode,Naam_officieel,Naam_nen,Naam_ptt,Huisnummer,Huisletter,Toevoeging,Postcode,Gebruiksdoel,Aantal_kamers,Woonoppervlak,Indicatie_nevenadres,Documentmutatiedatum,Documentmutatienummer,Bouwlaagtoegang,Aantal_bouwlagen,Type_woonobject_oms,Eigendomsverhouding,Financieringswijze,Feitelijk_gebruik,Ligging_gebouw,Status_nummeraanduiding,Nummeraanduiding_vervallen,Nummeraanduiding_ingangsdatum,Nummeraanduiding_einddatum,Status_adresseerbaar_object,Aot_x_coordinaat,Aot_y_coordinaat,Oorspronkelijk_bouwjaar,Kadgemkode,Sektielt,Konr,Kolt,Koindex,Perceeloppervlak,Ddtransakt,Zakelijkrecht,Aandeel,Ffkoopsom,Subjekt_oms,,
363010000631834,3630000002825,3630000094142,3630000631834,3630013050146,8549,1224456,20845,786953,vbo,10944,Elisabeth Wolffstraat,Elisabeth Wolffstraat,E WOLFFSTR,1,,2,1052 RP,Best-woning,3,51,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-08,,Verblijfsobject in gebruik,119575,487105,1908,ASD13,Q,5850,G,0,173,13-06-94,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Q,,
363010000675517,3630000003617,3630000137485,3630000675517,3630013072270,118615,2650263,20850,1549144,vbo,16373,Hunzestraat,Hunzestraat,HUNZESTR,1,,2,1079 VS,Best-woning,4,70,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-31,,Verblijfsobject in gebruik,122149,484150,1931,ASD18,V,8723,G,0,169,01-08-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam V,,
363010000662531,3630000003376,3630000124630,3630000662531,3630013027505,114059,2049356,24759,333264,vbo,14850,Hendrik Bulthuisstraat,Hendrik Bulthuisstraat,H BULTHUISSTR,1,,,1067 SE,Best-woning,4,66,nee,09-09-10,GV00000406,0,2,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-58,,Verblijfsobject in gebruik,114671,487520,1958,STN02,I,4629,G,0,99,21-10-05,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000676736,3630000003627,3630000138537,3630000676736,3630012966749,416714,2270479,20863,1308944,vbo,16500,Ilpendammerstraat,Ilpendammerstraat,ILPENDAMMERSTR,1,,,1023 AV,Best-woning,3,50,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-26,,Verblijfsobject in gebruik,124884,489426,1926,ASD31,AL,3544,G,0,84,02-03-10,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Al,,
363010000673205,3630000003593,3630000135159,3630000673205,3630012963500,533121,2449585,20863,1416318,vbo,15997,Hoogwoudstraat,Hoogwoudstraat,HOOGWOUDSTR,1,,,1023 XW,Best-woning,4,70,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-49,,Verblijfsobject in gebruik,124456,489586,1949,ASD31,AL,5260,G,0,93,16-01-12,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Al,,
363010000639105,3630000002904,3630000101269,3630000639105,3630013120216,91438,510958,24759,484014,vbo,12068,Fred. Thomasstraat,Fred. Thomasstraat,F THOMASSTR,1,,,1068 WD,Best-woning,4,62,nee,09-09-10,GV00000406,0,3,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-60,,Verblijfsobject in gebruik,115960,485293,1960,STN02,D,9073,G,0,23,10-05-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000639105,3630000002904,3630000101269,3630000639105,3630013120216,475696,510858,24759,483952,vbo,12068,Fred. Thomasstraat,Fred. Thomasstraat,F THOMASSTR,1,,,1068 WD,Best-woning,4,62,nee,09-09-10,GV00000406,0,3,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-60,,Verblijfsobject in gebruik,115960,485293,1960,STN02,D,8478,G,0,68,10-05-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000676491,3630000003625,3630000138320,3630000676491,3630012963046,126091,1662303,20850,860862,vbo,16489,IJselstraat,IJselstraat,YSELSTR,1,,1,1078 CA,Best-woning,4,59,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-25,,Verblijfsobject in gebruik,122007,484481,1925,ASD18,V,5624,G,0,218,12-04-01,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam V,,
363010000668624,3630000003568,3630000130598,3630000668624,3630013049054,333989,563049,289716,567111,vbo,15636,Hofgeest,Hofgeest,HOFGEEST,1,,,1102 EA,Best-woning,4,89,nee,04-02-13,GV00001616_AC00AC,6,1,Meergezinswoning,huur,Sociale huursector woningwet,woning,onbekend,naamgeving uitgegeven,N,01-01-69,,Verblijfsobject in gebruik,125731,480542,1969,WPK02,L,6234,A,79,,20-12-07,Eigendom,1-jan.,100000,Rvg Beleggingen Amsterdam B.V.,,
363010000660465,3630000003355,3630000122554,3630000660465,3630012966352,315768,240002,139894,1241587,vbo,14567,Heemstedestraat,Heemstedestraat,HEEMSTEDESTR,1,,2,1058 NM,Best-woning,4,54,nee,04-02-13,GV00001616_AC00AC,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-28,,Verblijfsobject in gebruik,118271,485006,1928,STN02,O,2863,A,23,,17-09-96,Eigendom,1-jan.,100000,Vve.V/H Gebouw Heemstedestraat 20-28 Te Amsterdam,,
